code,name,buy_date,sell_date,buy_price,sell_price,shares,pnl,pnl_pct,hold_weeks,exit_reason
000523,红棉股份,2010-11-19,2011-04-29,5.124634993270524,4.51,1700,-1049.79,-12.05,23,stop_loss
000546,金圆股份,2010-11-19,2010-12-03,15.121359637249594,13.57,500,-779.98,-10.32,2,stop_loss
000811,冰轮环境,2010-12-10,2010-12-24,5.591404759432248,5.489235106418129,1500,-158.24,-1.89,2,breakout_failure
600617,国新能源,2010-12-17,2011-04-15,4.516118374829019,5.286488036346166,1900,1458.11,16.99,17,take_profit
000006,深振业Ａ,2011-01-14,2011-08-12,3.2913000905888268,2.82,2700,-1277.46,-14.38,30,stop_loss
600461,洪城环境,2011-02-04,2011-05-20,4.394991340592923,3.89,2000,-1014.95,-11.55,15,stop_loss
600984,建设机械,2011-02-11,2011-03-18,5.092458300238284,5.48886624305004,1700,668.5,7.72,5,breakout_failure
300022,吉峰科技,2011-02-11,2011-03-04,16.93131993093241,17.574378922052293,500,316.35,3.74,3,breakout_failure
600563,法拉电子,2011-02-18,2011-05-27,19.341796905311774,17.09,400,-905.09,-11.7,14,stop_loss
002335,科华数据,2011-02-18,2011-04-29,7.188510527044008,5.56,1200,-1958.8,-22.71,10,stop_loss
002331,皖通科技,2011-02-18,2011-04-29,7.542488614629103,6.21,1100,-1470.28,-17.72,10,stop_loss
600353,旭光电子,2011-02-25,2011-04-29,2.4661613582178514,2.8005465606839524,3400,1131.54,13.49,9,breakout_failure
600880,博瑞传播,2011-02-25,2011-04-01,10.665427863904789,9.57,800,-881.2,-10.33,5,stop_loss
600262,北方股份,2011-03-18,2011-12-16,18.671136407766987,13.68,400,-2000.34,-26.78,38,stop_loss
002361,神剑股份,2011-03-25,2011-04-22,2.396996957800781,2.19,3400,-708.47,-8.69,4,stop_loss
002195,岩山科技,2011-04-22,2011-05-20,1.08754974123154,1.4129474525316454,7500,2434.86,29.85,4,take_profit
002154,报喜鸟,2011-04-29,2011-12-23,4.561928323623295,3.9,1800,-1196.04,-14.57,33,stop_loss
000727,冠捷科技,2011-05-27,2011-06-03,5.559568211180124,5.36,1400,-283.98,-3.65,1,stop_loss
000798,中水渔业,2011-06-03,2011-09-30,11.446922019982624,8.75,700,-1892.09,-23.61,17,stop_loss
000758,中色股份,2011-06-03,2011-06-24,13.311575050216724,12.255463177925785,600,-638.27,-7.99,3,approaching_failed
600132,重庆啤酒,2011-06-10,2011-12-09,42.188664576043486,48.37398137028243,100,615.81,14.6,24,breakout_failure
300006,莱美药业,2011-06-10,2011-07-22,4.952953220338982,5.781008511082138,1600,1319.74,16.65,6,take_profit
000935,四川双马,2011-06-24,2011-07-08,12.30194196,12.676400141538464,600,220.18,2.98,2,breakout_failure
600409,三友化工,2011-06-24,2011-07-08,5.4119596537686245,5.618775163037033,1500,305.26,3.76,2,breakout_failure
601600,中国铝业,2011-06-24,2011-08-05,10.028986223975052,9.45,800,-467.86,-5.83,6,stop_loss
002150,正泰电源,2011-06-24,2011-08-12,6.225348022450519,5.57,1300,-856.55,-10.58,7,stop_loss
600188,兖矿能源,2011-07-01,2011-07-22,9.066764314337055,8.592054128023463,900,-432.01,-5.29,3,approaching_failed
000933,神火股份,2011-07-15,2011-10-21,12.660045219912316,9.96,600,-1624.1,-21.38,13,stop_loss
000957,中通客车,2011-07-15,2011-08-05,4.031381242166559,3.757282900445422,1900,-525.23,-6.86,3,approaching_failed
002378,章源钨业,2011-08-19,2011-09-16,10.650170083277697,9.73,700,-648.4,-8.7,4,stop_loss
600493,凤竹纺织,2011-08-19,2011-12-16,7.521666020263645,5.52,1000,-2005.58,-26.66,16,stop_loss
600684,珠江股份,2011-08-26,2011-09-16,3.052885663611789,2.7702842381486126,2500,-710.87,-9.31,3,approaching_failed
002338,奥普光电,2011-08-26,2011-09-16,14.43021843742376,14.261416549768235,500,-88.7,-1.23,3,approaching_failed
600125,铁龙物流,2011-09-02,2011-09-09,8.353485400372849,8.03,900,-295.56,-3.93,1,stop_loss
600353,旭光电子,2011-09-02,2011-10-21,3.4481325137833405,2.51,2200,-2067.82,-27.26,6,stop_loss
000928,中钢国际,2011-09-23,2011-09-30,5.9823076923076925,5.76,1200,-271.0,-3.77,1,stop_loss
600273,嘉化能源,2011-10-14,2011-10-28,6.3374685399300885,4.92,1100,-1562.93,-22.42,2,stop_loss
002028,思源电气,2011-10-14,2011-10-28,7.850067083543732,7.24,900,-553.13,-7.83,2,stop_loss
600008,首创环保,2011-10-28,2011-11-18,1.7865904974408657,1.7862393353101786,4000,-5.69,-0.08,3,breakout_failure
600750,华润江中,2011-10-28,2012-01-20,8.454288453193028,7.18,800,-1023.18,-15.13,12,stop_loss
600867,通化东宝,2011-10-28,2012-01-06,2.8192126171474827,2.41,2500,-1026.95,-14.57,10,stop_loss
600895,张江高科,2011-10-28,2011-12-16,7.918527567708332,7.33,800,-474.48,-7.49,7,stop_loss
